Employee ID,Age,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Employee Count,Gender,Job Level,Job Role,Marital Status,Monthly Income,Num Companies Worked,Over 18,Percent Salary Hike,Standard Hours,Stock Option Level,Total Working Years,Training Times Last Year,Years At Company,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Job Satisfaction,Work Life Balance,Job Involvement,Performance Rating,Salary Category,Age Group
709,58,Yes,Travel Rarely,Sales,1,4,Technical Degree,1,Male,2,Sales Executive,Married,10090,7,Y,13,8,2,31,3,10,5,9,3,1,2,4,3,Low,
2179,58,Yes,Travel Rarely,Sales,1,4,Technical Degree,1,Male,2,Sales Executive,Married,10090,7,Y,13,8,2,31,3,10,5,9,3,1,2,4,3,Low,
3649,58,Yes,Travel Rarely,Sales,1,4,Technical Degree,1,Male,2,Sales Executive,Married,10090,7,Y,13,8,2,31,3,10,5,9,3,1,2,4,3,Low,
923,36,No,Travel Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Healthcare Representative,Single,10510,2,Y,14,8,0,15,2,4,1,3,1,2,3,3,3,Low,
2393,36,No,Travel Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Healthcare Representative,Single,10510,2,Y,14,8,0,15,2,4,1,3,1,2,3,3,3,Low,
3863,36,No,Travel Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Healthcare Representative,Single,10510,2,Y,14,8,0,15,2,4,1,3,1,2,3,3,3,Low,
960,24,No,Travel Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Sales Executive,Married,10520,1,Y,13,8,0,5,3,5,0,4,3,3,3,3,3,Low,
2430,24,No,Travel Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Sales Executive,Married,10520,1,Y,13,8,0,5,3,5,0,4,3,3,3,3,3,Low,
3900,24,No,Travel Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Sales Executive,Married,10520,1,Y,13,8,0,5,3,5,0,4,3,3,3,3,3,Low,
64,31,No,Travel Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,3,4,3,Low,
1534,31,No,Travel Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,0,4,3,Low,
3004,31,No,Travel Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,3,4,3,Low,
91,42,No,Travel Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Ma0ger,Single,10910,2,Y,22,8,0,16,0,1,0,0,1,4,3,1,4,Low,
1561,42,No,Travel Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Ma0ger,Single,10910,2,Y,22,8,0,16,0,1,0,0,1,4,3,1,4,Low,
3031,42,No,Travel Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Ma0ger,Single,10910,2,Y,22,8,0,16,0,1,0,0,1,4,3,1,4,Low,
373,22,No,Travel Rarely,Research & Development,2,2,Life Sciences,1,Male,1,Sales Representative,Married,11020,6,Y,19,8,0,4,3,2,2,2,4,4,1,2,3,Low,
1843,22,No,Travel Rarely,Research & Development,2,2,Life Sciences,1,Male,1,Sales Representative,Married,11020,6,Y,19,8,0,4,3,2,2,2,4,4,1,2,3,Low,
3313,22,No,Travel Rarely,Research & Development,2,2,Life Sciences,1,Male,1,Sales Representative,Married,11020,6,Y,19,8,0,4,3,2,2,2,4,4,1,2,3,Low,
1107,28,No,Travel Frequently,Sales,8,3,Life Sciences,1,Male,4,Research Scientist,Married,11180,1,Y,11,8,0,7,3,7,0,7,3,4,3,3,3,Low,
2577,28,No,Travel Frequently,Sales,8,3,Life Sciences,1,Male,4,Research Scientist,Married,11180,1,Y,11,8,0,7,3,7,0,7,3,4,3,3,3,Low,
4047,28,No,Travel Frequently,Sales,8,3,Life Sciences,1,Male,4,Research Scientist,Married,11180,1,Y,11,8,0,7,3,7,0,7,3,4,3,3,3,Low,
128,30,Yes,Travel Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0,3,4,3,2,3,Low,
1598,30,Yes,Travel Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0,3,4,3,2,3,Low,
3068,30,Yes,Travel Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0,3,4,3,2,3,Low,
497,33,No,No Travel,Sales,9,2,Technical Degree,1,Male,5,Sales Representative,Single,12000,0,Y,11,8,1,3,3,2,2,2,2,4,2,3,3,Low,
1967,33,No,No Travel,Sales,9,2,Technical Degree,1,Male,5,Sales Representative,Single,12000,0,Y,11,8,1,3,3,2,2,2,2,4,2,3,3,Low,
3437,33,No,No Travel,Sales,9,2,Technical Degree,1,Male,5,Sales Representative,Single,12000,0,Y,11,8,1,3,3,2,2,2,2,4,2,3,3,Low,
1106,33,No,Travel Rarely,Sales,1,3,Life Sciences,1,Female,5,Sales Executive,Single,12230,1,Y,13,8,1,10,3,10,0,9,2,3,2,3,3,Low,
2576,33,No,Travel Rarely,Sales,1,3,Life Sciences,1,Female,5,Sales Executive,Single,12230,1,Y,13,8,1,10,3,10,0,9,2,3,2,3,3,Low,
4046,33,No,Travel Rarely,Sales,1,3,Life Sciences,1,Female,5,Sales Executive,Single,12230,1,Y,13,8,1,10,3,10,0,9,2,3,2,3,3,Low,
219,24,No,Travel Rarely,Sales,7,3,Medical,1,Female,1,Laboratory Technician,Married,12320,1,Y,12,8,0,1,4,1,0,0,4,2,3,1,3,Low,
1689,24,No,Travel Rarely,Sales,7,3,Medical,1,Female,1,Laboratory Technician,Married,12320,1,Y,12,8,0,1,4,1,0,0,4,2,3,1,3,Low,
3159,24,No,Travel Rarely,Sales,7,3,Medical,1,Female,1,Laboratory Technician,Married,12320,1,Y,12,8,0,1,4,1,0,0,4,2,3,1,3,Low,
1212,34,No,Travel Rarely,Sales,4,3,Medical,1,Female,1,Sales Executive,Married,12610,2,Y,14,8,1,6,6,4,1,2,2,3,4,3,3,Low,
2682,34,No,Travel Rarely,Sales,4,3,Medical,1,Female,1,Sales Executive,Married,12610,2,Y,14,8,1,6,6,4,1,2,2,3,4,3,3,Low,
4152,34,No,Travel Rarely,Sales,4,3,Medical,1,Female,1,Sales Executive,Married,12610,2,Y,14,8,1,6,6,4,1,2,2,3,4,3,3,Low,
1248,43,No,Travel Rarely,Sales,9,5,Technical Degree,1,Female,1,Research Director,Divorced,12740,1,Y,19,8,0,6,3,5,1,4,4,3,2,2,3,Low,
2718,43,No,Travel Rarely,Sales,9,5,Technical Degree,1,Female,1,Research Director,Divorced,12740,1,Y,19,8,0,6,3,5,1,4,4,3,2,2,3,Low,
4188,43,No,Travel Rarely,Sales,9,5,Technical Degree,1,Female,1,Research Director,Divorced,12740,1,Y,19,8,0,6,3,5,1,4,4,3,2,2,3,Low,
711,36,No,Travel Frequently,Sales,16,2,Life Sciences,1,Male,1,Research Scientist,Married,12810,2,Y,11,8,0,17,2,15,6,13,1,1,2,3,3,Low,
2181,36,No,Travel Frequently,Sales,16,2,Life Sciences,1,Male,1,Research Scientist,Married,12810,2,Y,11,8,0,17,2,15,6,13,1,1,2,3,3,Low,
